latitude,longitude,error_m,bathymetry
41.340023498901445,-70.54369097524307,6.437319808080132,-9.859812759555805
41.3400110794013,-70.54373488331136,6.352502384627855,-9.857591134060156
41.33999243650083,-70.54378411034111,6.314041340270187,-9.856234094344808
41.339978780688305,-70.54382494923756,6.30410771438443,-9.853855854895944
41.339963228589994,-70.5438777308457,6.324497821664549,-9.8493043779535
41.33995477958186,-70.54392268398884,6.303820559595006,-9.843061415476074
41.339947830566445,-70.54396573977407,6.344247322661153,-9.836260905161488
41.33992792179639,-70.54402237150475,6.357628903777374,-9.831011544099578
41.339936228272,-70.54405979955409,6.332467485160889,-9.819542686613095
41.3399134725191,-70.54411221127803,6.314676575986446,-9.816939885155476
41.339903174420435,-70.54415325653974,6.279009502666522,-9.812447961393632
41.33989229918309,-70.54419509440619,6.248143921383599,-9.808477582149768
41.33988050329862,-70.54423854354255,6.31234994719714,-9.805140858235534
41.33985664352466,-70.54430005458832,6.292767946951291,-9.80418311298946
41.33984378901047,-70.54434924310365,6.243664061315508,-9.800083381127582
41.33983873524074,-70.54439174513466,6.191475111588407,-9.793657390115392
41.3398182929613,-70.5444440759666,6.189158746074439,-9.790656776435721
41.339806272074306,-70.5444863339884,6.218213984489167,-9.786203540267628
41.33980153393382,-70.54452560154255,6.245995254905299,-9.779556709303915
41.339786656076065,-70.54457895830572,6.206346005321229,-9.773599368492615
41.33976151306503,-70.54462972376004,6.236423155863528,-9.772193143317772
41.33975589784413,-70.54466743312248,6.216706504861344,-9.766489280390951
41.33974857421982,-70.54470812863481,6.274133851040682,-9.761099386886983
41.33973547764097,-70.54474608108607,6.3492987867150035,-9.758883776574198
41.33971676926622,-70.5447984513355,6.332892096409742,-9.75687109740286
41.339697053827464,-70.54483972271652,6.324338407020893,-9.75807244276017
41.33968025317026,-70.54488019563985,6.273641901953206,-9.758978844609965
41.33966428644481,-70.54491846323062,6.307965883978308,-9.760619000433788
41.339642263463844,-70.54496869613588,6.353486095623459,-9.7644414601773
41.339621902152075,-70.5450165397726,6.357313548458161,-9.769217130652104
41.33959815580691,-70.54505837681212,6.349719344124965,-9.777265759334957
41.3395834723487,-70.54508961048771,6.420712128597845,-9.782730490203026
41.33956938843008,-70.54513145522013,6.46237615414614,-9.788616805572918
41.33955536919585,-70.54517828498278,6.45366036731586,-9.79574865926768
41.33953699500991,-70.54522376593418,6.335636848121956,-9.805641462728303
41.339521054730625,-70.54526074352131,6.27470439819407,-9.814662560111763
41.33950032987414,-70.54530658277903,6.295969101524447,-9.826912919196207
41.339485227221125,-70.54534610983339,6.255280256482024,-9.83664842221836
41.33947132621982,-70.54539689386861,6.248804023618981,-9.847071351470115
41.33945808715915,-70.54543263013294,6.159515844955687,-9.85639997208577
41.33944107793874,-70.54548384404728,6.214026181267449,-9.869214653362564
41.33942787948596,-70.54553068594721,6.162134137279256,-9.880185080371376
41.33941355277816,-70.54557771584493,6.171940612607206,-9.892121823285985
41.339397445029626,-70.54562615762107,6.126444953470155,-9.905500230744735
41.339378766344915,-70.54567906366687,6.113154274171313,-9.921137198646576
41.33936089160384,-70.54573738102272,6.029783196093547,-9.937589387752984
41.33935422983913,-70.54577347423543,5.977695559654911,-9.945843672084372
41.33935350537939,-70.54580883261791,6.02304526750718,-9.951209282133185
41.33934621535058,-70.54586102047345,6.017395253177027,-9.962642931190846
41.33935146056611,-70.54590112567938,5.9944372134079424,-9.966270383141127
41.339344107191685,-70.54595561184078,6.003369573503095,-9.978898285475427
41.339338510078285,-70.54600423904691,5.975617685431618,-9.99008329737509
41.33934140688935,-70.54603435827025,5.971342823812544,-9.994007610910487
41.339328929760676,-70.54609775308364,5.9747619676977894,-10.012044822336234
41.33932066138594,-70.54615245249117,5.9728792098353285,-10.02686005132805
41.33931631392194,-70.54620649172564,5.969130104258703,-10.040025978717464
41.33931086353718,-70.54625346541717,5.964903819734866,-10.052670981105841
41.33930446763006,-70.54630452324656,5.923084325583908,-10.067029055921846
41.339302225409114,-70.54635024953,5.891539099389099,-10.078461539042037
41.33930130799658,-70.54639917656114,5.9027964649467535,-10.090290555402966
41.33929459654931,-70.54644903536001,5.950839297713176,-10.105607523944473
41.339286761621985,-70.54649497389396,5.942805755312255,-10.120871506322159
41.33927436579648,-70.54654499932786,5.99093297352923,-10.139798917438664
41.33925876703005,-70.54659271200255,5.9330587778839226,-10.160127894980329
41.339243144343754,-70.5466363853429,5.935071105490949,-10.179745843707675
