global_sample,global_start,global_end,orig_rms_db,filt_rms_db,rms_diff_db
15365008,15347008,15379008,132.81992787354642,120.59107996470865,12.228847908837764
15388801,15370801,15402801,134.26155512779982,129.2036036857798,5.057951442020027
15412760,15394760,15426760,134.01399429572305,129.46740346410647,4.546590831616584
15436407,15418407,15450407,132.77774761582467,120.17230636991023,12.605441245914434
15458062,15440062,15472062,134.9911261744806,121.7836073652378,13.2075188092428
15482336,15464336,15496336,134.73774424584872,123.05812085056866,11.67962339528006
15507952,15489952,15521952,133.737271953876,123.20468146131545,10.532590492560544
15532104,15514104,15546104,134.6553502776262,123.4872346329278,11.168115644698418
15555903,15537903,15569903,136.15460355774098,131.4722299743727,4.682373583368275
15579472,15561472,15593472,138.19553455657862,135.45987579541912,2.735658761159499
